Gene,Value
AGPAT9,721.00166
AGPS,38.801297500000004
AGR2,15.809429999999999
AGR3,3.04137
AGRN,37.9242825
AGRP,28.56896
AGT,106.61025
AGTPBP1,288.17029
AGTR1,42.665825
AGTR2,9.47258
AGTRAP,175.83961666666664
AGXT,18.762236666666666
AGXT2,11.88538
AHCTF1,188.1888
AHCY,62.92542
AHCYL1,318.24286
AHCYL2,71.53421
AHDC1,53.252963333333334
AHI1,12.551026
AHNAK,223.59849
AHNAK2,22.093875
AHR,165.75956
AHRR,29.62472
AHSA1,374.05796
AHSA2,98.498745
AHSG,71.093165
AHSP,1396.191
AICDA,18.991509999999998
AIDA,701.83871
AIF1,945.0983200000001
AIF1L,30.40046
AIFM1,31.86086
AIFM2,32.489035
AIFM3,36.26949
AIG1,27.180843333333332
AIM1,572.12473
AIM1L,382.699525
AIM2,150.60738
AIMP1,106.69360666666667
AIMP2,144.55887666666666
AIP,163.73402
AIPL1,38.335809999999995
AIRE,24.57643
AJAP1,104.939405
AJUBA,4.14492
AK1,330.981695
AK2,98.31391
AK3,146.568975
AK4,22.5473625
AK5,29.71152
AK6,196.00037999999998
AK7,22.4473225
AK8,93.761025
AK9,12.566566666666667
AKAP1,41.3703225
AKAP10,85.964845
AKAP11,138.7385
AKAP12,12.046796
AKAP13,303.30760555555554
AKAP14,7.449596666666667
AKAP2,116.0179225
AKAP3,7.17502
AKAP4,28.28228
AKAP5,22.31529
AKAP6,8.190195
AKAP7,82.49879
AKAP8,66.078835
AKAP8L,85.913612
AKAP9,44.26112666666668
AKIP1,254.41943666666666
AKIRIN1,301.38256
AKIRIN2,278.3627666666667
AKNA,368.13757
AKNAD1,9.944593333333335
AKR1A1,219.30835
AKR1B1,439.64583
AKR1B10,29.75113
AKR1C1,35.77527833333333
AKR1C2,21.5895
AKR1C3,80.42273
AKR1C4,7.03889
AKR1C6P,15.87242
AKR1D1,8.25793
AKR1E2,26.75433
AKR7A2,115.110945
AKR7A3,38.80928
AKT1,204.00992
AKT1S1,23.66824
AKT2,56.62814
AKT3,34.50826714285714
AKTIP,130.56904
ALAD,88.21143500000001
ALAS1,195.61865
ALAS2,1386.87001
ALB,12.78732
ALCAM,176.54588666666666
ALDH16A1,38.61221
ALDH18A1,61.64131999999999
ALDH1A1,76.67388
ALDH1A2,17.792285
ALDH1A3,42.148905
ALDH1B1,69.14651500000001
ALDH1L1,29.86147
ALDH1L2,3.2040166666666665
ALDH2,467.2075
ALDH3A1,52.33876
ALDH3A2,83.87004999999999
ALDH3B1,145.90378333333334
ALDH3B2,15.1012
ALDH4A1,145.260605
ALDH5A1,201.37792000000002
ALDH6A1,33.228864
ALDH7A1,34.70267
ALDH8A1,3.65899
ALDH9A1,535.19059
ALDOA,1262.7663966666667
ALDOAP2,19.43096
ALDOB,20.851264444444446
ALDOC,147.99689
ALG1,28.673054999999998
ALG11,124.795015
ALG12,8.2534
ALG13,70.13074
ALG14,29.62669
ALG2,103.69113
ALG3,67.52353
ALG5,98.12547
ALG6,105.29157
ALG8,113.49015
ALG9,46.56762500000001
ALK,52.156505
ALKBH1,53.17883500000001
ALKBH2,29.11131
ALKBH3,60.37255
ALKBH4,32.53682
ALKBH5,238.87468333333334
ALKBH6,58.33794
ALKBH7,39.780165000000004
ALKBH8,31.934455
ALLC,219.64857
ALMS1,364.5137833333333
ALMS1P,18.63467
ALOX12,195.77124
ALOX12B,11.41405
ALOX12P2,31.7082
ALOX15,21.30728
ALOX15B,15.48138
ALOX5,846.4658
ALOX5AP,2757.28953
ALOXE3,20.089065
ALPI,9.765015
ALPK1,78.4146475
ALPK2,13.93109
ALPK3,9.391595
ALPL,93.32105
ALPP,133.111765
ALPPL2,41.18076
ALS2,16.77195
ALS2CL,41.36158666666667
ALS2CR11,3.3670616666666664
ALS2CR12,63.04546
ALX1,1.49767
ALX3,13.66979
ALX4,26.09183
ALYREF,80.63428499999999
AMACR,29.87485166666666
AMBN,6.95155
AMBP,24.714480000000002
AMBRA1,34.910264999999995
AMD1,632.45094
AMDHD1,21.88538
AMDHD2,185.96151
AMELX,18.2402
AMELY,37.57467
AMER1,25.15515
AMER2,30.878973333333334
AMER3,5.590093333333333
AMFR,53.358345
AMH,23.05542
AMHR2,71.80834
AMICA1,1526.71091
AMIGO1,92.56821
AMIGO2,165.97421
AMIGO3,18.114143333333335
AMMECR1,33.1357475
AMMECR1L,101.4067
